date,open,high,low,close,volume,hold,settle,品种,交易所,合约代码
2017-10-10,97.47,97.52,97.435,97.44,6139,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-11,94.925,94.985,94.83,94.885,23448,0,0.0,10年期国债期货,CFFEX,T0
2017-10-11,97.44,97.475,97.38,97.41,6257,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-12,94.89,94.95,94.605,94.615,31493,0,0.0,10年期国债期货,CFFEX,T0
2017-10-12,97.41,97.445,97.23,97.255,10427,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-13,94.68,94.77,94.615,94.615,22901,0,0.0,10年期国债期货,CFFEX,T0
2017-10-13,97.27,97.34,97.235,97.25,7446,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-16,94.43,94.44,94.26,94.315,31054,0,0.0,10年期国债期货,CFFEX,T0
2017-10-16,97.11,97.11,96.97,97.02,13281,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-17,94.27,94.385,93.89,93.995,46056,0,0.0,10年期国债期货,CFFEX,T0
2017-10-17,97.0,97.045,96.71,96.79,13826,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-18,94.14,94.17,93.865,94.04,41795,0,0.0,10年期国债期货,CFFEX,T0
2017-10-18,96.83,96.885,96.73,96.84,19413,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-19,94.16,94.5,94.075,94.175,45421,0,0.0,10年期国债期货,CFFEX,T0
2017-10-19,96.91,97.2,96.88,96.985,13935,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-20,94.15,94.315,94.07,94.08,32433,0,0.0,10年期国债期货,CFFEX,T0
2017-10-20,96.98,97.09,96.95,96.99,10704,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-23,94.06,94.205,93.935,94.16,32747,0,0.0,10年期国债期货,CFFEX,T0
2017-10-23,96.94,97.035,96.85,97.02,10364,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-24,94.155,94.22,94.06,94.145,20919,0,0.0,10年期国债期货,CFFEX,T0
2017-10-24,97.0,97.03,96.945,96.98,5281,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-25,94.06,94.075,93.57,93.575,46180,0,0.0,10年期国债期货,CFFEX,T0
2017-10-25,96.95,96.95,96.63,96.65,12794,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-26,93.62,93.78,93.32,93.77,51865,0,0.0,10年期国债期货,CFFEX,T0
2017-10-26,96.605,96.725,96.455,96.71,16538,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-27,93.75,93.76,93.26,93.275,37233,0,0.0,10年期国债期货,CFFEX,T0
2017-10-27,96.71,96.725,96.35,96.355,11525,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-30,93.07,93.085,92.23,92.56,81935,0,0.0,10年期国债期货,CFFEX,T0
2017-10-30,96.19,96.24,95.75,95.955,33434,0,0.0,5年期国债期货,CFFEX,TF0
2017-10-31,92.745,92.88,92.51,92.68,58772,0,0.0,10年期国债期货,CFFEX,T0
2017-10-31,96.03,96.13,95.935,96.065,16407,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-01,92.725,93.085,92.71,92.935,51549,0,0.0,10年期国债期货,CFFEX,T0
2017-11-01,96.085,96.28,96.065,96.155,14584,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-02,92.9,93.07,92.78,92.83,40290,0,0.0,10年期国债期货,CFFEX,T0
2017-11-02,96.14,96.23,96.06,96.07,12970,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-03,92.805,92.985,92.645,92.905,45611,0,0.0,10年期国债期货,CFFEX,T0
2017-11-03,96.08,96.155,95.95,96.105,16282,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-06,92.88,93.105,92.81,93.065,32679,0,0.0,10年期国债期货,CFFEX,T0
2017-11-06,96.1,96.19,96.035,96.17,11386,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-07,93.03,93.06,92.575,92.7,43740,0,0.0,10年期国债期货,CFFEX,T0
2017-11-07,96.17,96.17,95.88,95.93,16941,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-08,92.7,92.97,92.51,92.85,41189,0,0.0,10年期国债期货,CFFEX,T0
2017-11-08,95.925,96.15,95.825,96.05,17739,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-09,92.855,92.99,92.685,92.735,25553,0,0.0,10年期国债期货,CFFEX,T0
2017-11-09,96.06,96.16,95.985,96.02,12990,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-10,92.735,92.82,92.555,92.69,19422,0,0.0,10年期国债期货,CFFEX,T0
2017-11-10,96.02,96.08,95.91,95.99,10716,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-13,92.75,92.75,92.085,92.125,49940,0,0.0,10年期国债期货,CFFEX,T0
2017-11-13,96.05,96.05,95.65,95.67,14064,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-14,92.15,92.45,91.83,92.445,77340,0,0.0,10年期国债期货,CFFEX,T0
2017-11-14,95.67,95.9,95.57,95.89,14905,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-15,92.485,92.59,92.31,92.43,51001,0,0.0,10年期国债期货,CFFEX,T0
2017-11-15,95.89,96.065,95.845,96.02,9780,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-16,92.51,92.825,92.48,92.725,47756,0,0.0,10年期国债期货,CFFEX,T0
2017-11-16,96.35,96.495,96.32,96.435,15995,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-17,92.695,92.795,92.56,92.695,35073,0,0.0,10年期国债期货,CFFEX,T0
