股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.601699,2527.0,0.00018973806846792553,0.028546636969119472,-0.10563902840158458,-0.013996737246620414,0.0,0.01433562296891938,0.0960257433411186,-0.10671463734498578,2.2649870454250136
sh.601718,2536.0,-0.0001239024080978237,0.02567263319408873,-0.10614606165266025,-0.010789060728520176,0.0,0.01049202182014412,0.09658082800578054,-0.14452478133129448,4.9856438722136085
sh.601727,2281.0,-0.00010209344487800531,0.026332691260665463,-0.10571443532175764,-0.0108003013507696,0.0,0.009680617710723496,0.09585877632535247,0.06233473026961836,4.921974648000777
sh.601728,931.0,0.00043608785929260597,0.018513142619790788,-0.1053605156578264,-0.0076629227422920915,0.0,0.007407542892570226,0.09614386055290235,0.3317392981988106,7.513920807014641
sh.601766,2505.0,1.6451375159719387e-05,0.021652694194363713,-0.10601819407679704,-0.008583743691391442,0.0,0.007117467768863955,0.09615943675558025,0.38093050949618357,7.535650026313908
sh.601788,2544.0,-0.0001265189554735357,0.025973717574180825,-0.10548868943882701,-0.011331219081766774,-0.0009050591578559319,0.009977944793245144,0.09584795879012784,0.11404790214657035,4.384917958203756
sh.601799,2526.0,0.00071981176067264,0.028000753979801778,-0.10556019616967179,-0.014132165813859203,-0.0009159962075544623,0.01489554413391536,0.09548136871170178,0.04264897322027492,2.3697873090098565
sh.601800,2547.0,-7.53887950884981e-05,0.02592560007275126,-0.10567223635860493,-0.011406067758235994,-0.0011461319306225722,0.00974687489234645,0.09570279857654541,0.13307982914771846,4.182472004899842
sh.601808,2547.0,-0.00014285077962444744,0.025553262198350524,-0.10563056696921638,-0.011643900825133804,0.0,0.011602906337192492,0.09573689199343238,-0.14666281671986542,3.596873778791241
sh.601816,1318.0,-8.807493666874231e-05,0.015244157092971118,-0.10457280391957705,-0.008032171697264239,0.0,0.007274795362339853,0.09599347330545745,0.3269616633542335,5.627830264637437
sh.601818,2534.0,0.00014484639296506328,0.01577920966658009,-0.10444266336759751,-0.0066611541983090505,0.0,0.006361040826381427,0.09485779345867705,0.2200267978852242,8.811520207343777
sh.601825,932.0,0.0001675600387484834,0.014054033783689355,-0.1053605156578264,-0.005353678063779586,0.0,0.006595364003198938,0.09571594162770497,-0.5546642812942605,9.314239961772122
sh.601828,1796.0,-0.0008822517472678572,0.02384218619741539,-0.10608227678623597,-0.011111254057895098,-0.0009119958014102102,0.009166214145257884,0.09709112417531969,0.08364888074978953,4.538707821324637
sh.601838,1794.0,0.0005540636934973331,0.020613768982349786,-0.10152866153834873,-0.009663330252188549,0.0,0.010244381199960113,0.09587467318651757,0.38971258186542834,4.731888449364545
sh.601857,2547.0,6.3486061314860995e-06,0.01768383798996598,-0.10524368640364813,-0.007323437056002953,0.0,0.007084210385627046,0.09581093094147865,-0.10087648145365231,6.65117847833643
sh.601865,1545.0,0.001112736414318795,0.03612461619439347,-0.10566372972928223,-0.018896340233519108,-0.0012492194004319278,0.019182173838773506,0.09617014832514659,0.27917261353624984,1.2056835959979506
