股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.600837,2432.0,11.439492276533718,2.766020909232104,6.80082432,9.185167934999999,11.32141895,12.75955705,24.71878142,1.6213717870937647,4.438639975322975
sh.600839,2544.0,4.180746039886007,2.252305908792491,2.1030174,2.762904,3.35259232,4.55331492,16.39890192,2.173464775701924,4.6146049946165615
sh.600845,2538.0,18.271805052584714,11.51204875167029,4.08975529,6.642619815,17.70900778,27.87074985,43.3150496,0.22596699770360168,-1.4816404834700951
sh.600848,2381.0,14.484339507265855,3.904433959954253,8.02094072,11.43527851,14.24293088,16.93392304,28.01001617,0.6637620955340625,0.2786429226044089
sh.600863,2530.0,2.7670521472292493,0.8200496372538716,1.46723148,2.09841651,2.40769731,3.3977728099999998,6.23272205,0.6358229108015045,-0.4554865351314037
sh.600867,2506.0,11.226656314988029,2.801049813763611,6.61566186,9.24555156,10.920735480000001,12.481176832500001,22.24539679,1.1217309344645374,1.773267991577455
sh.600871,2516.0,3.0415103338632745,2.0836606284625376,1.65,1.93,2.11,3.16,14.22,2.32440008174222,4.714115880904606
sh.600872,2459.0,28.809858926657174,13.355228838096949,9.46586454,18.799759495,26.82101162,35.65208518,78.0730347,0.9601948714410975,0.8780255406077551
sh.600873,2427.0,5.80792170329625,2.501246065423349,2.56058712,3.67104582,4.69676544,8.429555805,11.1939982,0.5304890472486573,-1.2734130025859909
sh.600875,2472.0,12.359470941601941,4.360974104973035,5.7306228,8.73310878,10.915869095000001,15.59973976,28.19136657,0.708568475865745,-0.286114810097831
sh.600880,2378.0,5.766979370941968,2.7584602475011755,3.1865359,3.8886408,4.90881926,6.2678354,22.59312195,2.302365835330398,6.669166965992857
sh.600884,2527.0,12.892510950898297,6.571449954623138,5.2503111,8.646674,10.80738624,14.452129809999999,40.59253345,1.7576587769264762,2.7753880702040963
sh.600886,2488.0,8.698361605044212,3.1267356415533083,4.55662844,6.2487393,7.7721845,10.06440302,17.93480447,1.0189166438523776,0.1075067218041097
sh.600887,2524.0,23.136187224809827,7.307041604053874,9.32863236,17.758284255,24.32511,27.60655653,43.05368649,-0.2055221069541204,-0.7690318185121252
sh.600893,2513.0,36.48822136005969,11.221769545956159,18.77703417,26.71611434,35.55602694,42.91739568,76.6322554,0.6835856947425055,0.1964460385824922
