,code,code_name,first_appear_date
588,sz.300033,同花顺,2017-01-01
589,sz.300058,蓝色光标,2015-01-01
590,sz.300059,东方财富,2015-07-01
591,sz.300070,碧水源,2015-01-01
592,sz.300072,三聚环保,2017-01-01
593,sz.300085,银之杰,2016-07-01
594,sz.300104,乐视网,2015-07-01
595,sz.300122,智飞生物,2018-01-01
596,sz.300124,汇川技术,2015-01-01
597,sz.300133,华策影视,2015-01-01
598,sz.300136,信维通信,2018-01-01
599,sz.300142,沃森生物,2019-01-01
600,sz.300144,宋城演艺,2016-01-01
601,sz.300146,汤臣倍健,2015-01-01
602,sz.300168,万达信息,2016-07-01
603,sz.300182,捷成股份,2017-01-01
604,sz.300207,欣旺达,2022-07-01
605,sz.300223,北京君正,2022-07-01
606,sz.300251,光线传媒,2015-01-01
607,sz.300274,阳光电源,2022-01-01
608,sz.300296,利亚德,2019-01-01
609,sz.300308,中际旭创,2024-01-01
610,sz.300315,掌趣科技,2016-01-01
611,sz.300316,晶盛机电,2022-07-01
612,sz.300347,泰格医药,2020-01-01
613,sz.300394,天孚通信,2025-01-01
614,sz.300408,三环集团,2018-07-01
615,sz.300413,芒果超媒,2019-07-01
616,sz.300418,昆仑万维,2024-07-01
617,sz.300433,蓝思科技,2018-07-01
618,sz.300442,润泽科技,2024-07-01
619,sz.300450,先导智能,2022-01-01
620,sz.300454,深信服,2022-07-01
621,sz.300496,中科创达,2022-07-01
622,sz.300498,温氏股份,2019-07-01
623,sz.300502,新易盛,2025-01-01
624,sz.300529,健帆生物,2021-01-01
625,sz.300558,贝达药业,2022-01-01
626,sz.300595,欧普康视,2022-01-01
627,sz.300601,康泰生物,2020-07-01
628,sz.300628,亿联网络,2020-07-01
629,sz.300661,圣邦股份,2022-07-01
630,sz.300676,华大基因,2021-01-01
631,sz.300677,英科医疗,2022-01-01
632,sz.300750,宁德时代,2022-07-01
633,sz.300751,迈为股份,2022-07-01
634,sz.300759,康龙化成,2022-07-01
635,sz.300760,迈瑞医疗,2022-07-01
636,sz.300763,锦浪科技,2022-07-01
637,sz.300769,德方纳米,2023-07-01
638,sz.300782,卓胜微,2022-07-01
639,sz.300832,新产业,2024-07-01
640,sz.300866,安克创新,2022-07-01
641,sz.300896,爱美客,2022-07-01
642,sz.300919,中伟股份,2022-07-01
643,sz.300957,贝泰妮,2022-07-01
644,sz.300979,华利集团,2022-07-01
645,sz.300999,金龙鱼,2022-07-01
646,sz.301269,华大九天,2024-01-01
